ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,א,את מה נשאו הכהנים כשבתוך הירדן היו עומדים,ארון הברית
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ב,לאן באו שני המרגלים שיהושע שלח מן השִטים,בית אשה זונה
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ג,איפה היו ערוכות הפִשתים ששם החביאה רחב את המרגלים,גג
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ד,לאן יצאו הרודפים לנסות להשיג את המרגלים,דרך הירדן
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ה,לאן אמרה רחב למרגלים  שאליהם ללכת לשלשה ימים,ההרה
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ו,מה ציוה ה' את יהושע שיעסוק בספר יומם ולילה,והגית בו
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ז,איזה ארץ נשבע ה' שיתן לאבותם אבל גם נשבע לבלתי הראותם,זבת חלב ודבש
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ח,עם מה יהושע מל את הזכרים ואז את הפסח היו עושים,חרבות צֻרים
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ט,מתי עלתה רחב למרגלים והם החליפו עמה דברים,טרם ישכבון
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,י,שם המנהיג של ישראל החדש שהכניס לארץ ואותה כבש,יהושע
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,כ,מי עמדו בתוך הירדן לפני ישראל הלכו הָכֵן,כהנים
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ל,מה ליהושע אמר המלאך כששאלו האם מאויבינו הלך,לא
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,מ,מה שבת ממחרת הפסח אחרי שעומר הביאו בזבח,מן
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,נ,מה המרגלים אמרו שהם יהיו אם משפחתה של רחב מהדלת יצאו,נקִים
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ס,מה עשו לשער האנשים שיצאו לרדוף אחרי המרגלים,סגרו
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ע,מתי עלו ישראל מהירדן ואז הכהנים עמדו הָכֵן,עשור לחדש הראשוון
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,פ,איזה חג חגגו ישראל  אחרי שנימולו במצות האל,פסח
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,צ,מה השוטרים אמרו לעם שיכינו כי עוד מעט את הירדן יעבורו,צֵדָה
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ק,היכן עברו השוטרים לפני שנסעו מהשִטים,קרב המחנה
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ר,איך נקראים אותם אנשים שאחרי המרגלים הם מחפשים,רֹדפים
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ש,כמה ימים אמרו השוטרים שנשארו לעם לפני שהם עוברים,שלֹשה
ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ת,איך נקרא הסמל שעל החלון כמו דגל,תִקוַת השְני
